,test_accuracy,test_accuracy_druggable,test_accuracy_non-druggable
1,0.595,0.6533333333333333,0.5366666666666666
2,0.6,0.6666666666666666,0.5333333333333333
3,0.6016666666666667,0.6266666666666667,0.5766666666666667
4,0.6333333333333333,0.6266666666666667,0.64
5,0.645,0.64,0.65
6,0.67,0.6933333333333334,0.6466666666666666
7,0.6633333333333333,0.6733333333333333,0.6533333333333333
8,0.68,0.7033333333333334,0.6566666666666666
9,0.6833333333333333,0.6866666666666666,0.68
10,0.6883333333333334,0.6866666666666666,0.69
11,0.6866666666666666,0.7166666666666667,0.6566666666666666
12,0.6933333333333334,0.7,0.6866666666666666
13,0.6933333333333334,0.7066666666666667,0.68
14,0.7,0.7233333333333334,0.6766666666666666
15,0.6966666666666667,0.7166666666666667,0.6766666666666666
16,0.6933333333333334,0.7066666666666667,0.68
17,0.6983333333333334,0.7166666666666667,0.68
18,0.7066666666666667,0.7166666666666667,0.6966666666666667
19,0.7183333333333334,0.7166666666666667,0.72
20,0.735,0.7366666666666667,0.7333333333333333
21,0.7466666666666667,0.7666666666666667,0.7266666666666667
22,0.74,0.7466666666666667,0.7333333333333333
23,0.7483333333333333,0.75,0.7466666666666667
24,0.74,0.7433333333333333,0.7366666666666667
25,0.7433333333333333,0.7533333333333333,0.7333333333333333
26,0.7616666666666667,0.7666666666666667,0.7566666666666667
27,0.7416666666666667,0.7533333333333333,0.73
28,0.73,0.74,0.72
29,0.7366666666666667,0.7466666666666667,0.7266666666666667
30,0.7433333333333333,0.7466666666666667,0.74
31,0.74,0.75,0.73
32,0.7433333333333333,0.76,0.7266666666666667
33,0.7316666666666667,0.7433333333333333,0.72
34,0.7366666666666667,0.75,0.7233333333333334
35,0.7283333333333334,0.73,0.7266666666666667
36,0.7333333333333333,0.7466666666666667,0.72
37,0.7333333333333333,0.7466666666666667,0.72
38,0.7366666666666667,0.75,0.7233333333333334
39,0.7333333333333333,0.74,0.7266666666666667
40,0.7366666666666667,0.7466666666666667,0.7266666666666667
41,0.7416666666666667,0.7566666666666667,0.7266666666666667
42,0.7383333333333333,0.75,0.7266666666666667
43,0.74,0.75,0.73
44,0.7366666666666667,0.7466666666666667,0.7266666666666667
45,0.7433333333333333,0.7566666666666667,0.73
46,0.7416666666666667,0.7466666666666667,0.7366666666666667
47,0.7416666666666667,0.7566666666666667,0.7266666666666667
48,0.7366666666666667,0.7566666666666667,0.7166666666666667
49,0.735,0.7433333333333333,0.7266666666666667
50,0.7433333333333333,0.7566666666666667,0.73
51,0.7416666666666667,0.7533333333333333,0.73
52,0.7316666666666667,0.7533333333333333,0.71
53,0.7416666666666667,0.7566666666666667,0.7266666666666667
54,0.7333333333333333,0.7533333333333333,0.7133333333333334
55,0.7316666666666667,0.7466666666666667,0.7166666666666667
56,0.7383333333333333,0.7466666666666667,0.73
57,0.7316666666666667,0.74,0.7233333333333334
58,0.7416666666666667,0.7433333333333333,0.74
59,0.7333333333333333,0.7366666666666667,0.73
60,0.7366666666666667,0.75,0.7233333333333334
61,0.7383333333333333,0.7566666666666667,0.72
62,0.735,0.75,0.72
63,0.7416666666666667,0.7433333333333333,0.74
64,0.7383333333333333,0.7433333333333333,0.7333333333333333
65,0.7433333333333333,0.7566666666666667,0.73
66,0.7416666666666667,0.7533333333333333,0.73
67,0.7416666666666667,0.75,0.7333333333333333
68,0.7383333333333333,0.7466666666666667,0.73
69,0.7483333333333333,0.7666666666666667,0.73
70,0.74,0.7466666666666667,0.7333333333333333
71,0.74,0.7533333333333333,0.7266666666666667
72,0.745,0.7533333333333333,0.7366666666666667
73,0.7366666666666667,0.7533333333333333,0.72
74,0.7366666666666667,0.7566666666666667,0.7166666666666667
75,0.75,0.76,0.74
76,0.7433333333333333,0.7566666666666667,0.73
77,0.7433333333333333,0.7533333333333333,0.7333333333333333
78,0.7433333333333333,0.7466666666666667,0.74
79,0.7416666666666667,0.7633333333333333,0.72
80,0.745,0.7633333333333333,0.7266666666666667
81,0.7466666666666667,0.7666666666666667,0.7266666666666667
82,0.74,0.7566666666666667,0.7233333333333334
83,0.7416666666666667,0.7566666666666667,0.7266666666666667
84,0.735,0.7533333333333333,0.7166666666666667
85,0.735,0.76,0.71
86,0.7433333333333333,0.7633333333333333,0.7233333333333334
87,0.7333333333333333,0.7533333333333333,0.7133333333333334
88,0.735,0.7633333333333333,0.7066666666666667
89,0.7383333333333333,0.7566666666666667,0.72
90,0.74,0.7733333333333333,0.7066666666666667
91,0.7416666666666667,0.7733333333333333,0.71
92,0.7333333333333333,0.7566666666666667,0.71
93,0.75,0.7666666666666667,0.7333333333333333
94,0.7383333333333333,0.7633333333333333,0.7133333333333334
95,0.7283333333333334,0.75,0.7066666666666667
96,0.735,0.7633333333333333,0.7066666666666667
97,0.7333333333333333,0.76,0.7066666666666667
